template_csv,template_rel,iter_idx,seed,stage1_obj,rank_stage1,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-001_sess-1_3event.csv,session-1/v5-9cat_sub-001_sess-1_3event.csv,,348945514833446,1010.4890785424255,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-001_sess-1_3event_rank01_seed348945514833446_obj1010.4891.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.27810994256963095,0.16397411456664934,0.04342075817960656,0.25067970634834524,0.16863826047655792,0.0443095651811316,0.25947027547046303,0.16078421938458937,0.04515777200376543,0.25917971840240966,0.1646439324055597,0.04587034824077182,0.2208663178700171,0.16360118161499354,0.04282189645292916,0.2370741590725091,0.16393821886092352,0.043624925997729144,0.7799995948111577,0.2101898561310559,0.05993263901015147,9.888888888888891,0.0,9.888888888888891,0.0,0.7799995948111577,0.2101898561310559,0.7799995948111577,0.2101898561310559,0.25067970634834524,0.16863826047655792,0.25917971840240966,0.1646439324055597,0.2370741590725091,0.16393821886092352,0.0,0.0,0.0,0.25067970634834524,0.16863826047655792,0.25917971840240966,0.1646439324055597,0.2370741590725091,0.16393821886092352
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-001_sess-1_3event.csv,session-1/v5-9cat_sub-001_sess-1_3event.csv,,348945514833434,1010.4900320833011,1,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-001_sess-1_3event_rank02_seed348945514833434_obj1010.4900.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.26278756834217554,0.1611945551919131,0.04325529705255209,0.2546286425812174,0.16330193233940893,0.04423818543875507,0.26367873566883127,0.15924575809704528,0.04501350424160171,0.2613954138547448,0.163399856447573,0.04572627707397,0.24330217383206817,0.15908200292471802,0.04264713152778723,0.24757525281083648,0.16266704271449967,0.043535016775471405,0.7837218350997323,0.2092822768623897,0.05970492945114349,9.88888888888889,0.0,9.88888888888889,0.0,0.7837218350997323,0.2092822768623897,0.7837218350997323,0.2092822768623897,0.2546286425812174,0.16330193233940893,0.2613954138547448,0.163399856447573,0.24757525281083648,0.16266704271449967,0.0,0.0,0.0,0.2546286425812174,0.16330193233940893,0.2613954138547448,0.163399856447573,0.24757525281083648,0.16266704271449967
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-001_sess-1_3event.csv,session-1/v5-9cat_sub-001_sess-1_3event.csv,,348945514833576,1010.4920642935317,2,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-001_sess-1_3event_rank03_seed348945514833576_obj1010.4921.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.2586557641984989,0.1590410390469813,0.04355846222296442,0.24932241308323286,0.16328602849900725,0.044461678695679074,0.2721599366158309,0.1611776984597592,0.045336148416866846,0.2739731318570543,0.16419237086231436,0.04607736086597161,0.23750300600502622,0.16047626184089797,0.04297148359265852,0.24146513629488836,0.1613256821112926,0.04381358929265133,0.7840036303271309,0.21117358947924827,0.06041126330236474,9.88888888888889,0.0,9.88888888888889,0.0,0.7840036303271309,0.21117358947924827,0.7840036303271309,0.21117358947924827,0.24932241308323286,0.16328602849900725,0.2739731318570543,0.16419237086231436,0.24146513629488836,0.1613256821112926,0.0,0.0,0.0,0.24932241308323286,0.16328602849900725,0.2739731318570543,0.16419237086231436,0.24146513629488836,0.1613256821112926
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-001_sess-1_3event.csv,session-1/v5-9cat_sub-001_sess-1_3event.csv,,348945514833514,1010.4923347849214,3,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-001_sess-1_3event_rank04_seed348945514833514_obj1010.4923.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.27408642106138775,0.15920374972532758,0.04353696021278482,0.2534501110907827,0.1612398576451332,0.0446102467578121,0.2803415694280745,0.16799907131491387,0.04527363576767459,0.27925660888980913,0.16872538285375946,0.04603828939945781,0.23519431725983161,0.15526507067675543,0.042952531356231484,0.24688061224266325,0.15662856658401603,0.043847483057898554,0.7832826140949574,0.21180458898499666,0.0602328309620658,9.88888888888889,0.0,9.88888888888889,0.0,0.7832826140949574,0.21180458898499666,0.7832826140949574,0.21180458898499666,0.2534501110907827,0.1612398576451332,0.27925660888980913,0.16872538285375946,0.24688061224266325,0.15662856658401603,0.0,0.0,0.0,0.2534501110907827,0.1612398576451332,0.27925660888980913,0.16872538285375946,0.24688061224266325,0.15662856658401603
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-001_sess-1_3event.csv,session-1/v5-9cat_sub-001_sess-1_3event.csv,,348945514833619,1010.4926174368225,4,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-001_sess-1_3event_rank05_seed348945514833619_obj1010.4926.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.2657625250646102,0.16376451527530123,0.043422465874081204,0.24860686657181197,0.16504340090340502,0.04453907232200684,0.2636873437308981,0.1624303951834653,0.045191523697792016,0.26379867348413477,0.1685772375886294,0.046094967827426114,0.2432070403746975,0.16111085356181032,0.04285922606054034,0.25005436895379807,0.1647763466231264,0.04385629889313479,0.7835676621011255,0.2119447168829444,0.060227039501718926,9.888888888888891,0.0,9.888888888888891,0.0,0.7835676621011255,0.2119447168829444,0.7835676621011255,0.2119447168829444,0.24860686657181197,0.16504340090340502,0.26379867348413477,0.1685772375886294,0.25005436895379807,0.1647763466231264,0.0,0.0,0.0,0.24860686657181197,0.16504340090340502,0.26379867348413477,0.1685772375886294,0.25005436895379807,0.1647763466231264
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-001_sess-1_3event.csv,session-1/v5-9cat_sub-001_sess-1_3event.csv,,348945514833488,1012.2681509129867,5,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-001_sess-1_3event_rank03_seed348945514833488_obj1012.2682.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.2678622749158746,0.16028352545096414,0.04332012597269687,0.2573148996469884,0.16194381698961255,0.04432839128348333,0.26792664957757006,0.1600041388720329,0.04509272627580726,0.26583597189090497,0.16378588626029433,0.04589740705450283,0.2462464113255425,0.15878585028846304,0.04278892345460571,0.2493333821434613,0.16273644463891745,0.04373870220234628,0.7833932715982662,0.20978761052098924,0.060048995812489264,11.666666666666668,0.0,11.666666666666668,0.0,0.7833932715982662,0.20978761052098924,0.7833932715982662,0.20978761052098924,0.2573148996469884,0.16194381698961255,0.26583597189090497,0.16378588626029433,0.2493333821434613,0.16273644463891745,0.0,0.0,0.0,0.2573148996469884,0.16194381698961255,0.26583597189090497,0.16378588626029433,0.2493333821434613,0.16273644463891745
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-001_sess-1_3event.csv,session-1/v5-9cat_sub-001_sess-1_3event.csv,,348945514833448,1013.1560159131524,6,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-001_sess-1_3event_rank04_seed348945514833448_obj1013.1560.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.2686265920990756,0.1557000870346265,0.04347342382641679,0.2493555143746954,0.16212765465105505,0.04450323748368036,0.27812755336950434,0.15961140513403127,0.04524227582786304,0.2752649094824662,0.1663629254295249,0.04595032250922944,0.239826576153798,0.15464184507011813,0.04285851120623334,0.24385305483203507,0.15672956020130935,0.04371499666962698,0.7832659192405246,0.20882739797654903,0.06011489388321545,12.555555555555557,0.0,12.555555555555557,0.0,0.7832659192405246,0.20882739797654903,0.7832659192405246,0.20882739797654903,0.2493555143746954,0.16212765465105505,0.2752649094824662,0.1663629254295249,0.24385305483203507,0.15672956020130935,0.0,0.0,0.0,0.2493555143746954,0.16212765465105505,0.2752649094824662,0.1663629254295249,0.24385305483203507,0.15672956020130935
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-001_sess-1_3event.csv,session-1/v5-9cat_sub-001_sess-1_3event.csv,,348945514833435,1013.1575894929009,7,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-001_sess-1_3event_rank05_seed348945514833435_obj1013.1576.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.27328818860692417,0.1567735881382868,0.04352500553581627,0.2500369142296091,0.15756281266935573,0.04467582867602382,0.27195541237483606,0.1630651429784884,0.04521416583110102,0.27104465207856826,0.1660861466292256,0.046037475637218564,0.24195847937102008,0.1545229993434057,0.042931013558528235,0.2448552126515345,0.1569671967290659,0.04389494188075348,0.7834665896034035,0.2103006425436803,0.060311729739714846,12.555555555555557,0.0,12.555555555555557,0.0,0.7834665896034035,0.2103006425436803,0.7834665896034035,0.2103006425436803,0.2500369142296091,0.15756281266935573,0.27104465207856826,0.1660861466292256,0.2448552126515345,0.1569671967290659,0.0,0.0,0.0,0.2500369142296091,0.15756281266935573,0.27104465207856826,0.1660861466292256,0.2448552126515345,0.1569671967290659
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-002_sess-1_3event.csv,session-1/v5-9cat_sub-002_sess-1_3event.csv,,3080397590165208,1011.379137862184,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-002_sess-1_3event_rank01_seed3080397590165208_obj1011.3791.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.2623430412212392,0.16484339347210705,0.04335900533076074,0.2488776065930925,0.16679209435831627,0.044422445764165985,0.24887001901322708,0.1617152947823422,0.04507081709966803,0.2558735196254214,0.16499988432604043,0.0459738993064177,0.22995230418419033,0.15986950185550608,0.04272569311863881,0.24574652129037114,0.16031894420018789,0.04367510317315155,0.781757657556636,0.2104812556278887,0.05997131877396161,10.777777777777777,0.0,10.777777777777777,0.0,0.781757657556636,0.2104812556278887,0.781757657556636,0.2104812556278887,0.2488776065930925,0.16679209435831627,0.2558735196254214,0.16499988432604043,0.24574652129037114,0.16031894420018789,0.0,0.0,0.0,0.2488776065930925,0.16679209435831627,0.2558735196254214,0.16499988432604043,0.24574652129037114,0.16031894420018789
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat\session-1\v5-9cat_sub-002_sess-1_3event.csv,session-1/v5-9cat_sub-002_sess-1_3event.csv,,3080397590165169,1011.3806126313468,1,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\v5-9cat_top5\session-1\v5-9cat_sub-002_sess-1_3event_rank02_seed3080397590165169_obj1011.3806.csv,uniform,uniform,0.5,1.5,1.0,1.5,2.0,2.0,0.2770642927161396,0.16495690606990354,0.04335615587613272,0.25059039657248605,0.16613639245692974,0.044369728927247325,0.26437799380574195,0.16437912565456547,0.045103085570012774,0.2649184583093732,0.1653047323735181,0.045908445843114695,0.24262547859425512,0.1583956418876387,0.04278727556930154,0.24427496090311754,0.16053746022837512,0.043704261052694024,0.7826652590698672,0.21150222403407035,0.059981526446249475,10.777777777777779,0.0,10.777777777777779,0.0,0.7826652590698672,0.21150222403407035,0.7826652590698672,0.21150222403407035,0.25059039657248605,0.16613639245692974,0.2649184583093732,0.1653047323735181,0.24427496090311754,0.16053746022837512,0.0,0.0,0.0,0.25059039657248605,0.16613639245692974,0.2649184583093732,0.1653047323735181,0.24427496090311754,0.16053746022837512
