template_csv,template_rel,iter_idx,seed,stage1_obj,rank_stage1,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst,id
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-042_sess-1_3event.csv,session-1/final_sub-042_sess-1_3event.csv,190,1.68228E+15,1008.713336,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-042_sess-1_3event_rank01_seed1682284247837793_obj1008.7133.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.276560744,0.157710096,0.043537171,0.255539608,0.168390047,0.04441438,0.263805473,0.160653757,0.045222126,0.265392656,0.161967372,0.045916952,0.236978537,0.160493709,0.042897719,0.240432077,0.162213261,0.043664941,0.783384617,0.21053277,0.060138116,8.111111111,0,8.111111111,0,0.783384617,0.21053277,0.783384617,0.21053277,0.255539608,0.168390047,0.265392656,0.161967372,0.240432077,0.162213261,0,0,0,0.255539608,0.168390047,0.265392656,0.161967372,0.240432077,0.162213261,42
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-043_sess-1_3event.csv,session-1/final_sub-043_sess-1_3event.csv,313,3.01408E+15,1009.598443,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-043_sess-1_3event_rank01_seed3014078155207652_obj1009.5984.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.27491304,0.158355475,0.043555876,0.244484892,0.16315176,0.044585996,0.271317659,0.162548891,0.045293292,0.272561829,0.165622279,0.046125956,0.24374184,0.157132031,0.042973212,0.251162222,0.160195706,0.043905496,0.780110541,0.208387807,0.060239132,9,0,9,0,0.780110541,0.208387807,0.780110541,0.208387807,0.244484892,0.16315176,0.272561829,0.165622279,0.251162222,0.160195706,0,0,0,0.244484892,0.16315176,0.272561829,0.165622279,0.251162222,0.160195706,43
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-044_sess-1_3event.csv,session-1/final_sub-044_sess-1_3event.csv,327,4.1876E+15,1010.490074,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-044_sess-1_3event_rank01_seed4187599172760157_obj1010.4901.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.26590411,0.155810406,0.043469065,0.245270371,0.157698786,0.044507928,0.267449411,0.159778723,0.045192406,0.266618481,0.163290631,0.046045151,0.238182609,0.153431484,0.042888863,0.247249274,0.155333752,0.043866328,0.782489051,0.209940877,0.060241113,9.888888889,0,9.888888889,0,0.782489051,0.209940877,0.782489051,0.209940877,0.245270371,0.157698786,0.266618481,0.163290631,0.247249274,0.155333752,0,0,0,0.245270371,0.157698786,0.266618481,0.163290631,0.247249274,0.155333752,44
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-045_sess-1_3event.csv,session-1/final_sub-045_sess-1_3event.csv,498,7.79815E+14,1009.602014,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-045_sess-1_3event_rank01_seed779815309439408_obj1009.6020.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.257957618,0.166679938,0.043337996,0.243448476,0.165021685,0.044440852,0.254318788,0.1612082,0.045103317,0.256314272,0.163823643,0.046041428,0.226527965,0.161433063,0.042750122,0.240837763,0.161023778,0.043731566,0.781704713,0.211161306,0.059930157,9,0,9,0,0.781704713,0.211161306,0.781704713,0.211161306,0.243448476,0.165021685,0.256314272,0.163823643,0.240837763,0.161023778,0,0,0,0.243448476,0.165021685,0.256314272,0.163823643,0.240837763,0.161023778,45
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-046_sess-1_3event.csv,session-1/final_sub-046_sess-1_3event.csv,78,2.36858E+15,1010.488986,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-046_sess-1_3event_rank01_seed2368578180713303_obj1010.4890.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.271533196,0.16099812,0.043478396,0.25429401,0.163118101,0.044628432,0.244766012,0.157474909,0.045202241,0.244771583,0.161446416,0.046050236,0.242387907,0.156630324,0.042836966,0.249495971,0.160191595,0.043822096,0.782489921,0.208852414,0.060178196,9.888888889,0,9.888888889,0,0.782489921,0.208852414,0.782489921,0.208852414,0.25429401,0.163118101,0.244771583,0.161446416,0.249495971,0.160191595,0,0,0,0.25429401,0.163118101,0.244771583,0.161446416,0.249495971,0.160191595,46
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-047_sess-1_3event.csv,session-1/final_sub-047_sess-1_3event.csv,255,1.52352E+15,1009.601398,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-047_sess-1_3event_rank01_seed1523521653551504_obj1009.6014.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.255313099,0.16420125,0.043471982,0.247971102,0.165970506,0.044521311,0.255172937,0.158838203,0.045204175,0.255873207,0.162887365,0.045870037,0.237803721,0.162612654,0.042928444,0.23851742,0.163321344,0.043869442,0.783072239,0.209861694,0.060058634,9,0,9,0,0.783072239,0.209861694,0.783072239,0.209861694,0.247971102,0.165970506,0.255873207,0.162887365,0.23851742,0.163321344,0,0,0,0.247971102,0.165970506,0.255873207,0.162887365,0.23851742,0.163321344,47
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-048_sess-1_3event.csv,session-1/final_sub-048_sess-1_3event.csv,482,4.24712E+14,1010.488087,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-048_sess-1_3event_rank01_seed424711503131169_obj1010.4881.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.274866124,0.164965818,0.043248671,0.251313179,0.165767415,0.044275914,0.250020091,0.160263537,0.045006838,0.253481275,0.164151317,0.045798426,0.233313356,0.16221318,0.042680195,0.247310831,0.162895098,0.043575538,0.783056223,0.207670113,0.059481565,9.888888889,0,9.888888889,0,0.783056223,0.207670113,0.783056223,0.207670113,0.251313179,0.165767415,0.253481275,0.164151317,0.247310831,0.162895098,0,0,0,0.251313179,0.165767415,0.253481275,0.164151317,0.247310831,0.162895098,48
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-049_sess-1_3event.csv,session-1/final_sub-049_sess-1_3event.csv,325,3.46779E+15,1010.490604,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-049_sess-1_3event_rank01_seed3467786416328364_obj1010.4906.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.274576639,0.158562277,0.043573633,0.250714255,0.163251582,0.044542116,0.272123722,0.16227799,0.045347248,0.272587682,0.167396009,0.046050277,0.242226842,0.156777147,0.042957355,0.248189135,0.15877449,0.043736396,0.782277894,0.210576633,0.060343767,9.888888889,0,9.888888889,0,0.782277894,0.210576633,0.782277894,0.210576633,0.250714255,0.163251582,0.272587682,0.167396009,0.248189135,0.15877449,0,0,0,0.250714255,0.163251582,0.272587682,0.167396009,0.248189135,0.15877449,49
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-050_sess-1_3event.csv,session-1/final_sub-050_sess-1_3event.csv,333,1.97282E+15,1010.489057,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-050_sess-1_3event_rank01_seed1972817332434575_obj1010.4891.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.268137891,0.161814902,0.043350816,0.251206971,0.162345188,0.044342563,0.26884588,0.159253386,0.045105461,0.268229565,0.161971569,0.045830785,0.23696773,0.152391493,0.042755005,0.243299443,0.158959921,0.043598843,0.783752973,0.208291726,0.059897768,9.888888889,0,9.888888889,0,0.783752973,0.208291726,0.783752973,0.208291726,0.251206971,0.162345188,0.268229565,0.161971569,0.243299443,0.158959921,0,0,0,0.251206971,0.162345188,0.268229565,0.161971569,0.243299443,0.158959921,50
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-051_sess-1_3event.csv,session-1/final_sub-051_sess-1_3event.csv,93,2.72553E+15,1009.601677,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-051_sess-1_3event_rank01_seed2725533374575687_obj1009.6017.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.280315207,0.160536259,0.043337076,0.251556689,0.164007753,0.044487421,0.25106985,0.163015604,0.045095377,0.252599739,0.163225681,0.04591776,0.240371153,0.160690826,0.042744623,0.244483114,0.159699728,0.043702367,0.784222226,0.209565735,0.059962183,9,0,9,0,0.784222226,0.209565735,0.784222226,0.209565735,0.251556689,0.164007753,0.252599739,0.163225681,0.244483114,0.159699728,0,0,0,0.251556689,0.164007753,0.252599739,0.163225681,0.244483114,0.159699728,51
