rank_stage1,var_idx,best_iter,stage1_obj,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
43,560,0,1013.1046192873526,1013.1046192873526,1013.1046192873526,1013.1046192873526,design_optimisation\optim_out_v3_3\designs\cand_rank0043.csv
44,652,0,1013.1097136911959,1013.1097136911959,1013.1097136911959,1013.1097136911959,design_optimisation\optim_out_v3_3\designs\cand_rank0044.csv
45,685,0,1013.1282228751039,1013.1282228751039,1013.1282228751039,1013.1282228751039,design_optimisation\optim_out_v3_3\designs\cand_rank0045.csv
46,413,0,1013.1361349756565,1013.1361349756565,1013.1361349756565,1013.1361349756565,design_optimisation\optim_out_v3_3\designs\cand_rank0046.csv
47,462,0,1013.1505522090984,1013.1505522090984,1013.1505522090984,1013.1505522090984,design_optimisation\optim_out_v3_3\designs\cand_rank0047.csv
48,615,0,1013.1524237803617,1013.1524237803617,1013.1524237803617,1013.1524237803617,design_optimisation\optim_out_v3_3\designs\cand_rank0048.csv
49,29,0,1013.1540715142518,1013.1540715142518,1013.1540715142518,1013.1540715142518,design_optimisation\optim_out_v3_3\designs\cand_rank0049.csv
50,71,0,1013.1549065027228,1013.1549065027228,1013.1549065027228,1013.1549065027228,design_optimisation\optim_out_v3_3\designs\cand_rank0050.csv
51,33,0,1013.1554997491214,1013.1554997491214,1013.1554997491214,1013.1554997491214,design_optimisation\optim_out_v3_3\designs\cand_rank0051.csv
52,19,0,1013.1558053755515,1013.1558053755515,1013.1558053755515,1013.1558053755515,design_optimisation\optim_out_v3_3\designs\cand_rank0052.csv
53,7,0,1013.1561001752702,1013.1561001752702,1013.1561001752702,1013.1561001752702,design_optimisation\optim_out_v3_3\designs\cand_rank0053.csv
54,13,0,1013.1580789887344,1013.1580789887344,1013.1580789887344,1013.1580789887344,design_optimisation\optim_out_v3_3\designs\cand_rank0054.csv
55,80,0,1013.1608122424489,1013.1608122424489,1013.1608122424489,1013.1608122424489,design_optimisation\optim_out_v3_3\designs\cand_rank0055.csv
56,36,0,1013.1638866969037,1013.1638866969037,1013.1638866969037,1013.1638866969037,design_optimisation\optim_out_v3_3\designs\cand_rank0056.csv
57,475,0,1013.1854719641041,1013.1854719641041,1013.1854719641041,1013.1854719641041,design_optimisation\optim_out_v3_3\designs\cand_rank0057.csv
58,455,0,1013.1879768889979,1013.1879768889979,1013.1879768889979,1013.1879768889979,design_optimisation\optim_out_v3_3\designs\cand_rank0058.csv
59,297,0,1013.7845246597208,1013.7845246597208,1013.7845246597208,1013.7845246597208,design_optimisation\optim_out_v3_3\designs\cand_rank0059.csv
60,319,0,1013.8051510511885,1013.8051510511885,1013.8051510511885,1013.8051510511885,design_optimisation\optim_out_v3_3\designs\cand_rank0060.csv
61,357,0,1013.8080934108378,1013.8080934108378,1013.8080934108378,1013.8080934108378,design_optimisation\optim_out_v3_3\designs\cand_rank0061.csv
62,389,0,1013.8194105822249,1013.8194105822249,1013.8194105822249,1013.8194105822249,design_optimisation\optim_out_v3_3\designs\cand_rank0062.csv
63,340,0,1013.8530564880169,1013.8530564880169,1013.8530564880169,1013.8530564880169,design_optimisation\optim_out_v3_3\designs\cand_rank0063.csv
64,598,0,1013.8826469423336,1013.8826469423336,1013.8826469423336,1013.8826469423336,design_optimisation\optim_out_v3_3\designs\cand_rank0064.csv
65,434,0,1013.8901630664094,1013.8901630664094,1013.8901630664094,1013.8901630664094,design_optimisation\optim_out_v3_3\designs\cand_rank0065.csv
66,154,0,1013.893179718926,1013.893179718926,1013.893179718926,1013.893179718926,design_optimisation\optim_out_v3_3\designs\cand_rank0066.csv
67,332,0,1013.8980336374665,1013.8980336374665,1013.8980336374665,1013.8980336374665,design_optimisation\optim_out_v3_3\designs\cand_rank0067.csv
68,535,0,1013.9122297685657,1013.9122297685657,1013.9122297685657,1013.9122297685657,design_optimisation\optim_out_v3_3\designs\cand_rank0068.csv
69,570,0,1013.9185130727877,1013.9185130727877,1013.9185130727877,1013.9185130727877,design_optimisation\optim_out_v3_3\designs\cand_rank0069.csv
70,157,0,1013.9276622491454,1013.9276622491454,1013.9276622491454,1013.9276622491454,design_optimisation\optim_out_v3_3\designs\cand_rank0070.csv
