var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
406,1,1013.0472469431912,1013.0472469431912,1013.0472469431912,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0406_iter0000_d000406.csv,0,1013.0472469431912
633,1,1013.0531804038864,1013.0531804038864,1013.0531804038864,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0633_iter0000_d000633.csv,0,1013.0531804038864
274,1,1013.0593544358096,1013.0593544358096,1013.0593544358096,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0274_iter0000_d000274.csv,0,1013.0593544358096
660,1,1013.0665167947387,1013.0665167947387,1013.0665167947387,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0660_iter0000_d000660.csv,0,1013.0665167947387
118,1,1013.0780409201913,1013.0780409201913,1013.0780409201913,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0118_iter0000_d000118.csv,0,1013.0780409201913
647,1,1013.1032635853746,1013.1032635853746,1013.1032635853746,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0647_iter0000_d000647.csv,0,1013.1032635853746
560,1,1013.1046192873526,1013.1046192873526,1013.1046192873526,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0560_iter0000_d000560.csv,0,1013.1046192873526
652,1,1013.1097136911959,1013.1097136911959,1013.1097136911959,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0652_iter0000_d000652.csv,0,1013.1097136911959
685,1,1013.1282228751039,1013.1282228751039,1013.1282228751039,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0685_iter0000_d000685.csv,0,1013.1282228751039
413,1,1013.1361349756565,1013.1361349756565,1013.1361349756565,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0413_iter0000_d000413.csv,0,1013.1361349756565
462,1,1013.1505522090984,1013.1505522090984,1013.1505522090984,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0462_iter0000_d000462.csv,0,1013.1505522090984
615,1,1013.1524237803617,1013.1524237803617,1013.1524237803617,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0615_iter0000_d000615.csv,0,1013.1524237803617
29,1,1013.1540715142518,1013.1540715142518,1013.1540715142518,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0029_iter0000_d000029.csv,0,1013.1540715142518
71,1,1013.1549065027228,1013.1549065027228,1013.1549065027228,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0071_iter0000_d000071.csv,0,1013.1549065027228
33,1,1013.1554997491214,1013.1554997491214,1013.1554997491214,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0033_iter0000_d000033.csv,0,1013.1554997491214
19,1,1013.1558053755515,1013.1558053755515,1013.1558053755515,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0019_iter0000_d000019.csv,0,1013.1558053755515
7,1,1013.1561001752702,1013.1561001752702,1013.1561001752702,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0007_iter0000_d000007.csv,0,1013.1561001752702
13,1,1013.1580789887344,1013.1580789887344,1013.1580789887344,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0013_iter0000_d000013.csv,0,1013.1580789887344
80,1,1013.1608122424489,1013.1608122424489,1013.1608122424489,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0080_iter0000_d000080.csv,0,1013.1608122424489
36,1,1013.1638866969037,1013.1638866969037,1013.1638866969037,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0036_iter0000_d000036.csv,0,1013.1638866969037
475,1,1013.1854719641041,1013.1854719641041,1013.1854719641041,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0475_iter0000_d000475.csv,0,1013.1854719641041
455,1,1013.1879768889979,1013.1879768889979,1013.1879768889979,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0455_iter0000_d000455.csv,0,1013.1879768889979
297,1,1013.7845246597208,1013.7845246597208,1013.7845246597208,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0297_iter0000_d000297.csv,0,1013.7845246597208
319,1,1013.8051510511885,1013.8051510511885,1013.8051510511885,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0319_iter0000_d000319.csv,0,1013.8051510511885
357,1,1013.8080934108378,1013.8080934108378,1013.8080934108378,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0357_iter0000_d000357.csv,0,1013.8080934108378
389,1,1013.8194105822249,1013.8194105822249,1013.8194105822249,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0389_iter0000_d000389.csv,0,1013.8194105822249
340,1,1013.8530564880169,1013.8530564880169,1013.8530564880169,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0340_iter0000_d000340.csv,0,1013.8530564880169
