var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
1109,1,1011.3944444448356,1011.3944444448356,1011.3944444448356,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1109_iter0000_d001109.csv,0,1011.3944444448356
1457,1,1011.3966801567316,1011.3966801567316,1011.3966801567316,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1457_iter0000_d001457.csv,0,1011.3966801567316
2291,1,1011.3987500274932,1011.3987500274932,1011.3987500274932,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2291_iter0000_d002291.csv,0,1011.3987500274932
1338,1,1011.400733042075,1011.400733042075,1011.400733042075,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1338_iter0000_d001338.csv,0,1011.400733042075
2097,1,1011.4007599956246,1011.4007599956246,1011.4007599956246,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2097_iter0000_d002097.csv,0,1011.4007599956246
2214,1,1011.4012465735914,1011.4012465735914,1011.4012465735914,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2214_iter0000_d002214.csv,0,1011.4012465735914
2304,1,1011.4019549631059,1011.4019549631059,1011.4019549631059,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2304_iter0000_d002304.csv,0,1011.4019549631059
2013,1,1011.4026161007808,1011.4026161007808,1011.4026161007808,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2013_iter0000_d002013.csv,0,1011.4026161007808
1308,1,1011.4031483549302,1011.4031483549302,1011.4031483549302,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1308_iter0000_d001308.csv,0,1011.4031483549302
1771,1,1011.4040882900257,1011.4040882900257,1011.4040882900257,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1771_iter0000_d001771.csv,0,1011.4040882900257
1914,1,1011.4045418428318,1011.4045418428318,1011.4045418428318,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1914_iter0000_d001914.csv,0,1011.4045418428318
1936,1,1011.4051548548149,1011.4051548548149,1011.4051548548149,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1936_iter0000_d001936.csv,0,1011.4051548548149
1501,1,1011.4052144131276,1011.4052144131276,1011.4052144131276,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1501_iter0000_d001501.csv,0,1011.4052144131276
1735,1,1011.405926815097,1011.405926815097,1011.405926815097,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1735_iter0000_d001735.csv,0,1011.405926815097
1755,1,1011.4061500423362,1011.4061500423362,1011.4061500423362,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1755_iter0000_d001755.csv,0,1011.4061500423362
1927,1,1011.4064905046382,1011.4064905046382,1011.4064905046382,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1927_iter0000_d001927.csv,0,1011.4064905046382
