var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
32,4,2030.9888070843226,2034.495756279395,2034.9762923765554,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0332_iter0000_d000632.csv,0
109,4,2030.990767602411,2034.2583673370095,2034.9662648278438,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0409_iter0000_d001009.csv,0
164,4,2031.0052774248559,2037.2237732876135,2038.1830962466831,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0464_iter0000_d000464.csv,0
256,4,2031.0174452520926,2038.608560247705,2039.8082392932006,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0256_iter0000_d000256.csv,0
195,4,2031.3506728467898,2046.033144999449,2049.4037534742233,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0495_iter0000_d000795.csv,0
203,4,2031.3533054104118,2035.809236883292,2036.528954733579,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0503_iter0000_d000503.csv,0
157,4,2031.3706979730057,2043.5263697275873,2046.1559488653932,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0457_iter0000_d000757.csv,0
128,4,2031.3788736688957,2039.6930450723194,2041.3621229416178,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0428_iter0000_d000728.csv,0
100,4,2031.4236534316815,2044.6902978658875,2047.8101417456444,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0400_iter0000_d001000.csv,0
260,4,2031.4321305752505,2044.0712872156844,2046.232876995776,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0560_iter0000_d000860.csv,0
252,4,2031.4412743928674,2037.759877593532,2038.2418393781604,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0552_iter0000_d001152.csv,0
207,4,2031.6588767509638,2037.6827929157382,2038.1879386241526,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0507_iter0000_d001107.csv,0
174,4,2031.6757933058727,2041.118762414313,2041.3797600415014,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0474_iter0000_d000474.csv,0
7,4,2031.6994218200382,2037.342814860777,2038.0633442811181,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0007_iter0000_d000007.csv,0
244,4,2031.706850679774,2035.7527763315718,2036.4718413588814,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0244_iter0000_d000244.csv,0
173,4,2031.7325284343428,2037.2429444153051,2038.2197280125604,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0473_iter0000_d000773.csv,0
201,4,2031.7561469499196,2037.2558975312866,2038.2302334653189,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0501_iter0000_d001101.csv,0
4,4,2031.7718921717724,2035.6584882078419,2036.6292801300667,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0304_iter0000_d000904.csv,0
116,4,2031.7993174662686,2040.9172596851397,2041.3890257140868,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0416_iter0000_d000716.csv,0
275,4,2031.8261115549863,2036.6530285250856,2036.6579891476651,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0575_iter0000_d001175.csv,0
179,4,2032.0600246836343,2037.056009620833,2038.0152183346668,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0179_iter0000_d000179.csv,0
92,4,2032.1289946055786,2037.8589185473113,2038.0984353339866,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0392_iter0000_d000692.csv,0
230,4,2032.1601821476527,2037.6551191760766,2038.1350772124006,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0230_iter0000_d000230.csv,0
202,4,2032.1968421773818,2037.9450976778774,2038.1747060254384,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0502_iter0000_d000502.csv,0
15,4,2032.222174786997,2041.2047949145779,2041.4504124505127,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0315_iter0000_d000615.csv,0
283,4,2032.4447575297568,2040.2414387195406,2041.202705926335,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0283_iter0000_d000283.csv,0
293,4,2032.4548890370143,2041.13183119693,2042.8105703524664,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0293_iter0000_d000293.csv,0
245,4,2032.4579493313452,2038.91772966044,2039.6108105410688,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0545_iter0000_d000545.csv,0
139,4,2032.4784374927174,2042.3625654525301,2042.8438694843353,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0439_iter0000_d000739.csv,0
217,4,2032.5320387012766,2038.1933951889832,2038.2083839452039,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0517_iter0000_d001117.csv,0
228,4,2032.5413731227375,2042.4294283344038,2042.9088956343237,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0528_iter0000_d000528.csv,0
129,4,2032.543733026625,2037.880303601269,2038.1212833647353,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0429_iter0000_d000729.csv,0
144,4,2032.5522772649313,2036.0515627203679,2036.5329359165555,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0444_iter0000_d001044.csv,0
258,4,2032.5524158078297,2039.0067987629689,2039.725959540705,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0258_iter0000_d000258.csv,0
11,4,2032.589455675715,2045.1921756272197,2047.841398921028,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0311_iter0000_d000611.csv,0
103,4,2032.8435334947699,2038.3968053442322,2039.5965630421217,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0103_iter0000_d000103.csv,0
69,4,2032.8653773214887,2040.8821099481806,2041.3866421763541,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0369_iter0000_d000669.csv,0
104,4,2032.8899512314101,2037.947167454507,2038.2111755344463,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0404_iter0000_d001004.csv,0
19,4,2032.9008490518754,2050.3356262891666,2054.1935103512437,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0319_iter0000_d000919.csv,0
63,4,2032.925573007389,2044.421188910638,2046.1021268807156,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0063_iter0000_d000063.csv,0
124,4,2032.9391933234513,2040.352439433364,2041.3126346178003,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0424_iter0000_d000724.csv,0
125,4,2032.9816841312802,2044.3599346557653,2044.604682206653,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0425_iter0000_d001025.csv,0
166,4,2032.990971304269,2039.3056760837765,2039.7749451528018,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0466_iter0000_d001066.csv,0
262,4,2032.9910301830923,2038.1748198782611,2038.1765577040428,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0562_iter0000_d000862.csv,0
276,4,2033.0188143058722,2039.1237868626094,2039.849632815323,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0576_iter0000_d000576.csv,0
30,4,2033.3435785337895,2047.228736910556,2049.3992059789175,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0330_iter0000_d000630.csv,0
96,4,2033.3525324771033,2039.732739212518,2039.7338742389563,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0096_iter0000_d000096.csv,0
170,4,2033.3541793044203,2042.9242863894012,2044.6171704149485,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0470_iter0000_d000470.csv,0
199,4,2033.3729097637402,2037.9770255343142,2038.2279906271044,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0499_iter0000_d000799.csv,0
114,4,2033.3956231665113,2040.903103980935,2041.383126153691,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0114_iter0000_d000114.csv,0
143,4,2033.4002426909892,2036.3461865645252,2036.5874525966972,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0443_iter0000_d000443.csv,0
265,4,2033.401068272763,2045.6408607838366,2047.7968726426107,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0565_iter0000_d001165.csv,0
172,4,2033.401491483538,2042.073430346917,2043.0419984630394,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0472_iter0000_d001072.csv,0
287,4,2033.4039066596642,2037.7185782395434,2038.1906083908316,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0587_iter0000_d000587.csv,0
264,4,2033.4103411340839,2037.9962587697146,2038.2430840175673,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0564_iter0000_d000564.csv,0
130,4,2033.419663284141,2041.578290300948,2043.01208888911,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0430_iter0000_d000430.csv,0
3,4,2033.6811220125035,2049.3262227296746,2052.4478459016523,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0003_iter0000_d000003.csv,0
213,4,2033.6863382180927,2044.3759379873343,2046.057839160671,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0513_iter0000_d001113.csv,0
113,4,2033.7083747646216,2042.7947889928316,2044.4755416389837,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0413_iter0000_d000413.csv,0
216,4,2033.7088342342618,2036.482064763197,2036.483796346828,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0216_iter0000_d000216.csv,0
299,4,2033.7257894414097,2049.390766015904,2052.4917234229047,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0599_iter0000_d000599.csv,0
70,4,2033.726194379836,2040.096005041597,2041.2937656644453,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0070_iter0000_d000070.csv,0
89,4,2033.7643524307196,2041.1772170424226,2041.4302990529907,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0389_iter0000_d000389.csv,0
215,4,2033.7766503638793,2045.5966659285987,2047.7561483524196,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0515_iter0000_d000515.csv,0
211,4,2033.7852452484058,2036.351100721559,2036.5878385107733,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0511_iter0000_d001111.csv,0
147,4,2033.785301484841,2037.725391963459,2038.2098078322408,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0447_iter0000_d000447.csv,0
88,4,2033.8120142875987,2040.6884201332432,2041.4020300990749,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0388_iter0000_d000688.csv,0
135,4,2034.1204173724173,2040.3293156043846,2041.288526007273,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0435_iter0000_d000735.csv,0
189,4,2034.1315974902743,2042.9949560873354,2043.01065314748,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0489_iter0000_d000489.csv,0
122,4,2034.1659469578233,2041.421502069121,2041.4347519508206,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0422_iter0000_d001022.csv,0
119,4,2034.1734269558308,2049.431513118287,2052.551332180204,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0419_iter0000_d000419.csv,0
186,4,2034.1853040963606,2041.1478804620115,2041.3834172748059,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0486_iter0000_d000786.csv,0
84,4,2034.1872722086623,2039.5384364655545,2039.7678267286672,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0384_iter0000_d000384.csv,0
27,4,2034.192432851315,2046.3474301577728,2047.7800910281771,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0327_iter0000_d000327.csv,0
45,4,2034.2016940187057,2044.0266815257546,2046.1848644428403,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0045_iter0000_d000045.csv,0
285,4,2034.202198048872,2046.1162580877256,2047.7982359525972,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0285_iter0000_d000285.csv,0
209,4,2034.2083966459745,2039.554057600992,2039.7948649840062,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0209_iter0000_d000209.csv,0
75,4,2034.2215900826536,2039.3308199713106,2039.8107158562732,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0075_iter0000_d000075.csv,0
36,4,2034.2229899595493,2042.945515536594,2044.6226422570346,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0336_iter0000_d000636.csv,0
212,4,2034.2262355660448,2054.9653853406976,2059.0507089523303,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0512_iter0000_d000512.csv,0
34,4,2034.4677698170444,2040.2873976294945,2041.2224502983433,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0334_iter0000_d000334.csv,0
149,4,2034.4970217915115,2039.1843643067118,2039.6637409991163,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0449_iter0000_d000749.csv,0
