var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst,stage1_obj
0,0,0,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,0.8821770123928727,1.340942760401628,0.5245841143617168,0.9340943783968721,0.25,0.25,0.2836422976433589,0.17082327141847647,0.04332606807709414,0.2816574862640522,0.17068429438485674,0.044412845391523535,0.2807841803810373,0.173137748072578,0.04365895962238838,0.2793909609407814,0.1758505602523699,0.044157003827196374,0.25716390894551633,0.16748968910244025,0.042569586643782804,0.2735164788796771,0.16816212227586516,0.04331182516363701,0.8759110099034054,0.21836209076816335,0.06392319275029751,23.600000000000005,0.0,23.600000000000005,0.0,0.8759110099034054,0.21836209076816335,0.8759110099034054,0.21836209076816335,0.2816574862640522,0.17068429438485674,0.2793909609407814,0.1758505602523699,0.2735164788796771,0.16816212227586516,0.0,0.0,0.0,0.2816574862640522,0.17068429438485674,0.2793909609407814,0.1758505602523699,0.2735164788796771,0.16816212227586516,2047.85631759572
1,0,100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0001_iter0000_d000001.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,0.863981465460308,1.4361561747354963,0.25,0.25,0.2531644954213457,0.1509277700309039,0.0418571972335672,0.2382542617303966,0.153414805977609,0.04232765327949243,0.25217512936915004,0.1527914900814799,0.04226517410484479,0.2533375083537572,0.1549523362473204,0.04251759804994188,0.23315886789778018,0.1488215186149995,0.04111658162477113,0.23588520529040316,0.1513874674685923,0.04140562696481891,0.8215455936768631,0.20369654537546122,0.05865277635610793,17.2,0.0,17.2,0.0,0.8215455936768631,0.20369654537546122,0.8215455936768631,0.20369654537546122,0.2382542617303966,0.153414805977609,0.2533375083537572,0.1549523362473204,0.23588520529040316,0.1513874674685923,0.0,0.0,0.0,0.2382542617303966,0.153414805977609,0.2533375083537572,0.1549523362473204,0.23588520529040316,0.1513874674685923,2035.014469342214
2,0,200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0002_iter0000_d000002.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,0.9895121324729194,1.3898147035169417,0.25,0.25,0.2614875421591592,0.1519878777377147,0.04212138971798566,0.24320306595455832,0.15521036592621285,0.0426389239143018,0.2538528745168274,0.15471472244558207,0.04252814234276242,0.2557982447572536,0.1578257235911247,0.042762256801685244,0.23371833119756558,0.15183473512618048,0.041372672178933916,0.2422330435832828,0.15352972685796587,0.0416097281094124,0.8034633593640729,0.2035067612269761,0.05954413863142018,19.6,0.0,19.6,0.0,0.8034633593640729,0.2035067612269761,0.8034633593640729,0.2035067612269761,0.24320306595455832,0.15521036592621285,0.2557982447572536,0.1578257235911247,0.2422330435832828,0.15352972685796587,0.0,0.0,0.0,0.24320306595455832,0.15521036592621285,0.2557982447572536,0.1578257235911247,0.2422330435832828,0.15352972685796587,2039.805238440909
3,0,300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0003_iter0000_d000003.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,0.9377932678579666,1.3662857920582885,0.25,0.25,0.24783087694023254,0.1509503697494369,0.042074690909805146,0.23930047632211027,0.15193045761292215,0.04257745511854421,0.24236978208741833,0.15327368645457076,0.04247888892253205,0.24202125113917097,0.15710925026683967,0.042756888867448085,0.22099138792026174,0.1489824173176627,0.04131724414381137,0.23184026617338951,0.1539388867772287,0.04155771090917295,0.801501251519997,0.20361056858084842,0.05930585385373832,11.6,0.0,11.6,0.0,0.801501251519997,0.20361056858084842,0.801501251519997,0.20361056858084842,0.23930047632211027,0.15193045761292215,0.24202125113917097,0.15710925026683967,0.23184026617338951,0.1539388867772287,0.0,0.0,0.0,0.23930047632211027,0.15193045761292215,0.24202125113917097,0.15710925026683967,0.23184026617338951,0.1539388867772287,2023.8043611943408
4,0,400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0004_iter0000_d000004.csv,uniform,uniform,1.017907353409932,1.4623573380060677,0.6798271343224309,1.2574288353383396,0.25,0.25,0.2624673568860973,0.154878454905328,0.04236683235474539,0.2517340864824335,0.1555678216283145,0.04295577378272872,0.2569103332273953,0.15777038158896556,0.042771744027934065,0.25787338770062385,0.16090614413580834,0.04300364513419235,0.23042772976255405,0.15115298713929715,0.04160334078975919,0.24286050933156023,0.15329386555261612,0.041861836072123064,0.8413377190612622,0.20861127053600295,0.06029267149132559,18.0,0.0,18.0,0.0,0.8413377190612622,0.20861127053600295,0.8413377190612622,0.20861127053600295,0.2517340864824335,0.1555678216283145,0.25787338770062385,0.16090614413580834,0.24286050933156023,0.15329386555261612,0.0,0.0,0.0,0.2517340864824335,0.1555678216283145,0.25787338770062385,0.16090614413580834,0.24286050933156023,0.15329386555261612,2036.6292801300667
5,0,500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0005_iter0000_d000005.csv,uniform,uniform,0.5169918026872777,0.9894499716754072,0.9023746488161782,1.4302757033235256,0.25,0.25,0.30862442683286834,0.1834864213726937,0.044214666858770374,0.2893932691054495,0.18205806950428624,0.04547091023121382,0.30170739560071813,0.18684062612395227,0.044610025122432145,0.3051934521651473,0.18783903631873505,0.04572685411967581,0.2829622756226959,0.1851166663220935,0.0434856844182965,0.29402329361099366,0.18677833392253465,0.044405824786640825,0.8020051562920663,0.23048033270860357,0.06697045683254578,15.6,0.0,15.6,0.0,0.8020051562920663,0.23048033270860357,0.8020051562920663,0.23048033270860357,0.2893932691054495,0.18205806950428624,0.3051934521651473,0.18783903631873505,0.29402329361099366,0.18677833392253465,0.0,0.0,0.0,0.2893932691054495,0.18205806950428624,0.3051934521651473,0.18783903631873505,0.29402329361099366,0.18677833392253465,2031.8314829108547
6,0,600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0006_iter0000_d000006.csv,uniform,uniform,0.8692310668887524,1.3577719267445,1.0983259614735266,1.4999679176187646,0.25,0.25,0.25834285300798643,0.15162824863062288,0.04219725732120331,0.24744970199563604,0.15365331994690873,0.04266540333797166,0.2507040266729949,0.1547231757031157,0.04263021823452768,0.2504985249391089,0.15785407561722736,0.0428945229424986,0.23268619994321002,0.149097109419909,0.04145463221667045,0.2413696808714425,0.152187265478333,0.041661331911545835,0.7788108741745845,0.20398030017110114,0.05961724841950474,22.0,0.0,22.0,0.0,0.7788108741745845,0.20398030017110114,0.7788108741745845,0.20398030017110114,0.24744970199563604,0.15365331994690873,0.2504985249391089,0.15785407561722736,0.2413696808714425,0.152187265478333,0.0,0.0,0.0,0.24744970199563604,0.15365331994690873,0.2504985249391089,0.15785407561722736,0.2413696808714425,0.152187265478333,2044.5933857372584
7,0,700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0007_iter0000_d000007.csv,uniform,uniform,0.9113251906884169,1.4340504706031976,0.9130680383425641,1.3857698830575813,0.25,0.25,0.25086301370448894,0.15356071094009788,0.04220168990667759,0.23866192202332553,0.15397461519640845,0.042635572281961846,0.2520229297803103,0.1581542039330143,0.04260070059815049,0.25456893524706253,0.15979618682363306,0.04277467661734357,0.2293241440247087,0.15271480093894496,0.041447306509483216,0.24060962360583746,0.1529039572017382,0.04158172337138993,0.8017824455085003,0.2050600041216978,0.05980070178033362,11.600000000000001,0.0,11.600000000000001,0.0,0.8017824455085003,0.2050600041216978,0.8017824455085003,0.2050600041216978,0.23866192202332553,0.15397461519640845,0.25456893524706253,0.15979618682363306,0.24060962360583746,0.1529039572017382,0.0,0.0,0.0,0.23866192202332553,0.15397461519640845,0.25456893524706253,0.15979618682363306,0.24060962360583746,0.1529039572017382,2023.805951226876
8,0,800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0008_iter0000_d000008.csv,uniform,uniform,0.5810579030134467,1.3554685752251112,0.8152125934854355,1.3035655726180848,0.25,0.25,0.30137914897744816,0.16936612372543616,0.043286654156618705,0.28319535439015614,0.17198257304673178,0.04418164215343721,0.29026738877670966,0.17272179682938638,0.0436681169527963,0.28686827712784696,0.173345229033279,0.04427937666170054,0.2680253882047716,0.1676339928603603,0.04254982305615835,0.28173412478689686,0.1666669830892354,0.04315278411525921,0.8227446283137525,0.21773947574112892,0.06385039884270034,20.4,0.0,20.4,0.0,0.8227446283137525,0.21773947574112892,0.8227446283137525,0.21773947574112892,0.28319535439015614,0.17198257304673178,0.28686827712784696,0.173345229033279,0.28173412478689686,0.1666669830892354,0.0,0.0,0.0,0.28319535439015614,0.17198257304673178,0.28686827712784696,0.173345229033279,0.28173412478689686,0.1666669830892354,2041.429111789898
9,0,900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0009_iter0000_d000009.csv,uniform,uniform,0.7915012152990735,1.4659071312019991,1.06042610957375,1.4745854574833535,0.25,0.25,0.2571665881954665,0.15375766480459482,0.042219335152732206,0.2497380128739637,0.15557960477713192,0.0427205169203407,0.2544603858344134,0.15733258141283496,0.04264427397138986,0.25436207494552604,0.15829020590245083,0.042900424460125396,0.23597721609059724,0.1495346674497725,0.041473720832812054,0.2519226869186441,0.15539158421592247,0.041667506671991116,0.7766861485116238,0.20382734704002514,0.05977518188797896,14.0,0.0,14.0,0.0,0.7766861485116238,0.20382734704002514,0.7766861485116238,0.20382734704002514,0.2497380128739637,0.15557960477713192,0.25436207494552604,0.15829020590245083,0.2519226869186441,0.15539158421592247,0.0,0.0,0.0,0.2497380128739637,0.15557960477713192,0.25436207494552604,0.15829020590245083,0.2519226869186441,0.15539158421592247,2028.5921704212958
