rep,run_id,loc_space,loc_from_summary_csv,loc_world_x,loc_world_y,loc_world_z,loc_vox_x,loc_vox_y,loc_vox_z,roi_radius_mm,roi_voxels,n_vox_sampled,hrf_latency_mismatch_sd,nuisance_model,prewhiten,ar1_rho,lsa_mean,lsa_p05,lss_mean,lss_p05,rsa_anchor_lsa_mean,rsa_anchor_lsa_p05,rsa_anchor_lsa_null_mean,rsa_anchor_lsa_null_p95,rsa_anchor_lsa_catnull_mean,rsa_cat_lsa_mean,rsa_cat_lsa_rdm_spearman,rsa_cat_lsa_n_cat,rsa_anchor_lss_mean,rsa_anchor_lss_p05,rsa_anchor_lss_null_mean,rsa_anchor_lss_null_p95,rsa_anchor_lss_catnull_mean,rsa_cat_lss_mean,rsa_cat_lss_rdm_spearman,rsa_cat_lss_n_cat
0,1,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.20894153101071394,0.15138236594660004,0.042111293555393566,0.17579899215886433,0.07162121839985837,0.4442798353909464,-0.046290598290598284,-0.0070010762899651805,0.13105539727761947,0.07466919911364356,0.46825396825396826,0.6543114543114543,9,0.4242481798037353,-0.0793162393162393,-0.0010400759734093086,0.13244191199746744,0.024146881924659698,0.4285714285714286,0.5225225225225225,9
0,2,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.1679075366737186,0.1247271035142896,0.0294598439538985,0.15979088428587468,0.04502963037602947,0.3208230452674897,-0.41880341880341876,0.0049903133903133915,0.11846660335549221,0.035846786957898065,0.3465608465608466,0.3951093951093951,9,0.41710667932890155,-0.31350427350427346,-0.0017202912314023427,0.11830326052548272,0.012978790756568541,0.4153439153439154,0.355984555984556,9
0,3,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.24723796337700166,0.12337357742974715,0.01985162422172823,0.15939487826075174,0.06822692001093049,0.3178600823045267,-0.33340170940170943,-0.0054161443494776815,0.13503007280785057,0.05030705919594808,0.33333333333333337,0.4386100386100386,9,0.404849635960747,-0.023247863247863244,-0.0021761316872427995,0.10045457423235203,0.05294080405191514,0.4047619047619049,0.4290862290862292,9
0,4,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.22474251187273941,0.17420517883989853,0.09501619809555881,0.2137095911793852,0.13009709846858528,0.47661918328584996,-0.07938461538461537,0.0008312757201646104,0.11797784108895219,-0.14691991136435578,0.3941798941798942,0.5472329472329472,9,0.5944539411206077,0.2821196581196581,0.003967331433998101,0.16049129471351692,-0.1089585311807534,0.5925925925925927,0.6550836550836551,9
0,5,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.22015802228646608,0.1402961029510912,0.0033018734941902073,0.18470397024904917,0.08036329814399931,0.3650395694840139,-0.07705982905982907,0.006512440645773977,0.15213295346628675,-0.23246597024374796,0.35185185185185186,0.4566280566280566,9,0.40755935422602085,0.05866666666666666,-0.004676669832225387,0.11718898385565048,-0.2181069958847736,0.46825396825396826,0.5140283140283141,9
0,6,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.23137635365884604,0.15513800316369122,0.047388514136973856,0.17851901903798648,0.08131686668590521,0.4140930674264007,-0.13545299145299144,-0.004013801836024056,0.13451725229502992,0.10604621715732826,0.46031746031746035,0.5760617760617761,9,0.49191516302627414,0.17935042735042736,-0.006524596391263058,0.1558898385565051,0.07537828426717315,0.47354497354497366,0.6097812097812099,9
0,7,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.24448225323972422,0.15871329007582669,0.06830406331820536,0.19020723427517436,0.10787172970738751,0.44693890471668246,-0.09429059829059826,0.0048974992086103205,0.19041975308641962,0.1588477366255144,0.4894179894179895,0.629086229086229,9,0.5716872427983538,0.29264957264957264,-0.008640835707502374,0.17094523583412463,0.15651788540677428,0.5132275132275133,0.6548262548262549,9
0,8,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.22714958790732714,0.17135155677080782,0.0922994606214011,0.20097369097652606,0.12966072924482186,0.4826464070908515,0.1241025641025641,-0.0038275403608736937,0.15877176321620756,-0.1471225071225071,0.5343915343915344,0.7606177606177607,9,0.5231402342513454,0.01832478632478633,0.00858702120924343,0.18671225071225062,-0.06707185818296929,0.4761904761904763,0.778893178893179,9
1,1,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.15484545545223805,0.13433087497145976,0.025504581090577398,0.1611831322270934,0.06107575645699962,0.409281418170307,-0.13476923076923078,0.014216524216524213,0.15381829692940796,0.05706869262424818,0.4338624338624339,0.3974259974259975,9,0.44017727128838235,0.06208547008547008,0.004992719214941437,0.12082811016144343,0.036049382716049364,0.4867724867724868,0.414929214929215,9
1,2,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.18028955021026835,0.10666590608799405,0.011323096310276505,0.12658814447827216,0.03621103656982411,0.3035770813548591,-0.3901538461538462,-0.006021525799303576,0.11629376384931937,0.02850269072491294,0.24074074074074078,0.2893178893178894,9,0.33806900918012023,-0.19617094017094017,0.004513833491611271,0.12686546375435256,0.03782209559987337,0.23015873015873017,0.37477477477477483,9
1,3,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.25753257328803886,0.12536310713059903,0.008456692804516112,0.15698391371005968,0.03214923133828238,0.2701487812598924,-0.36779487179487175,0.015066160177271288,0.12514086736308952,-0.08067109844887621,0.1402116402116402,0.15341055341055343,9,0.288559670781893,-0.3595213675213675,0.002503956948401391,0.12271858182969284,-0.041823361823361827,0.22751322751322756,0.2007722007722008,9
1,4,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.18453565700427413,0.1351842287839765,0.0007610541513260738,0.1747683732422131,0.0537617742781187,0.4223488445710668,0.013264957264957265,0.0057917062361506795,0.12282494460272238,-0.2124849635960747,0.5132275132275133,0.46332046332046334,9,0.5322317188983855,0.11384615384615385,0.002502943969610636,0.13013358657803098,-0.18675530231085788,0.5423280423280423,0.5086229086229086,9
1,5,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.28177397592876224,0.1521464447448858,0.0815979303766866,0.17711023809475393,0.1193158105800619,0.5609749920861031,0.16676923076923075,-0.0004904083570750217,0.17405381449825894,0.04587527698638808,0.5925925925925927,0.7160875160875162,9,0.5103260525482748,0.2012307692307692,-0.004502437480215256,0.1207977207977208,0.04757201646090535,0.5343915343915344,0.5915057915057915,9
1,6,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.21867239766825675,0.1399237170427639,0.04104636872413835,0.1801080576284665,0.056935417215759045,0.33895536562203227,-0.1993162393162393,-0.002964988920544476,0.1318442545109211,0.14952833175055394,0.34126984126984133,0.30862290862290864,9,0.41254827477049694,-0.09483760683760682,0.00422209559987338,0.1580158277936055,0.19812598923710034,0.43650793650793657,0.22805662805662807,9
1,7,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.21300627690134566,0.12376495066338833,0.0255736610561697,0.1387926315616432,0.058470024170331016,0.4450648939537828,0.07288888888888888,0.009775118708452041,0.16419626464070902,-0.10908515352959795,0.5105820105820107,0.6048906048906049,9,0.5000696422918646,0.1055042735042735,0.01948414055080722,0.21119214941437153,0.0016081038303260493,0.5502645502645502,0.8118404118404119,9
1,8,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.23872252524055987,0.13132613959487566,0.023470374192938986,0.1524350946867901,0.0647897143179986,0.24287432731877173,-0.5738119658119657,0.002289965178854069,0.21642798353909454,-0.23753086419753086,0.17195767195767198,0.5446589446589447,9,0.3757518201962646,-0.03364102564102564,0.001266856600189935,0.1930838873061095,-0.2842798353909465,0.37566137566137564,0.5716859716859718,9
2,1,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.1785092676104378,0.12548671185948848,0.006443448370874527,0.1456652573458621,0.02583719458688264,0.2784805318138651,-0.2782222222222222,0.009473377651155428,0.1066020892687559,-0.04840772396327951,0.12962962962962965,0.09343629343629345,9,0.3002849002849003,-0.4711111111111111,-0.008614878125989238,0.10630072807850578,-0.07484647040202594,0.1402116402116402,0.112998712998713,9
2,2,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.23112457094766536,0.11941589394526854,-0.012569896987257209,0.15023722849977642,0.01653339211396957,0.2647040202595758,-0.32615384615384607,-0.008043937955049063,0.10993478949034491,0.05413105413105412,0.17989417989417997,0.39974259974259974,9,0.33229503007280786,-0.14358974358974358,0.005350300728078506,0.11166571699905027,0.055827793605571364,0.29629629629629634,0.45353925353925356,9
