trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,,Fixation,,2.173391580581665,,,fixation,10.0,run_start,2.2939889430999756,0.0,0.0,1.2844444513320923,hidden,1.2844444513320923,0.0,1.0095444917678833,fixation,0.0
1,1,20.0,Medium,20_0.633_0.755.png,2.9985411167144775,0.635,0.752,,,,11.493717193603516,4.467380523681641,1.0,2.996858596801758,hidden,8.464239120483398,3.5,2.996858596801758,fixation,1.0
2,1,3.0,Incongruent,3_0.408_0.429.png,2.6059622764587402,0.414,0.435,,,,11.493717193603516,18.959638595581055,1.0,2.996858596801758,hidden,22.956497192382812,3.5,2.996858596801758,fixation,1.0
3,1,2.0,Incongruent,2_0.939_0.061.png,1.0699199438095093,0.936,0.065,,,,9.874475002288818,33.05931854248047,1.0,1.3776164054870605,hidden,35.43693542480469,3.5,2.996858596801758,fixation,1.0
4,1,1.0,Medium,1_0.673_0.327.png,1.9876718521118164,0.665,0.336,,,,9.748732447624207,44.00371170043945,1.0,2.386775016784668,hidden,47.39048767089844,3.5,1.8619574308395386,fixation,1.0
5,1,9.0,Medium,9_0.204_0.000.png,2.9985411167144775,0.214,0.0,,,,10.261030673980713,55.740116119384766,1.0,1.764172077178955,hidden,58.50428771972656,3.5,2.996858596801758,fixation,1.0
6,1,20.0,Medium,20_1.000_0.837.png,2.6791510581970215,1.0,0.834,,,,11.493717193603516,68.99968719482422,1.0,2.996858596801758,hidden,72.99655151367188,3.5,2.996858596801758,fixation,1.0
7,1,3.0,Incongruent,3_0.449_0.388.png,2.3133437633514404,0.457,0.389,,,,8.121880531311035,83.17255401611328,1.0,2.069237232208252,hidden,86.2417984008789,3.5,0.5526432991027832,fixation,1.0
8,1,2.0,Incongruent,2_0.612_0.204.png,1.2957247495651245,0.613,0.206,,,,9.15716004371643,93.60778045654297,1.0,0.6603014469146729,hidden,95.26808166503906,3.5,2.996858596801758,fixation,1.0
9,1,11.0,Congruent,11_0.327_0.980.png,1.216241478919983,0.322,0.979,,,,9.117226243019104,104.0606689453125,1.0,0.6203676462173462,hidden,105.68103790283203,3.5,2.996858596801758,fixation,1.0
10,1,22.0,Congruent,13b_0.755_0.673.png,2.9985411167144775,0.751,0.683,,,,10.595747232437134,114.39413452148438,1.0,2.098888635635376,hidden,117.49302673339844,3.5,2.996858596801758,fixation,1.0
11,1,1.0,Medium,1_0.939_0.347.png,1.2568614482879639,0.944,0.345,,,,9.159072756767273,127.9884262084961,1.0,0.6622141599655151,hidden,129.650634765625,3.5,2.996858596801758,fixation,1.0
12,1,18.0,Incongruent,18_0.347_0.041.png,0.9105762839317322,0.34,0.045,,,,10.437711715698242,138.40435791015625,1.0,2.996858596801758,hidden,142.40121459960938,3.5,1.9408531188964844,fixation,1.0
13,1,22.0,Congruent,13b_0.694_0.612.png,2.8740293979644775,0.689,0.604,,,,8.492210686206818,149.7526397705078,1.0,0.6682632565498352,hidden,151.42091369628906,3.5,2.3239474296569824,fixation,1.0
14,1,8.0,Congruent,8_0.878_0.939.png,2.188746929168701,0.887,0.948,,,,10.622121095657349,161.11888122558594,1.0,2.125262498855591,hidden,164.244140625,3.5,2.996858596801758,fixation,1.0
15,1,1.0,Medium,1_0.714_0.551.png,1.8537147045135498,0.717,0.552,,,,11.146384000778198,173.92974853515625,1.0,2.996858596801758,hidden,177.92660522460938,3.5,2.6495254039764404,fixation,1.0
16,1,3.0,Incongruent,3_0.408_0.245.png,2.9985411167144775,0.415,0.25,,,,9.401292383670807,186.9298553466797,1.0,2.996858596801758,hidden,190.9267120361328,3.5,0.9044337868690491,fixation,1.0
17,1,18.0,Incongruent,18_0.224_0.551.png,2.9985411167144775,0.218,0.554,,,,9.348700046539307,199.32968139648438,1.0,2.101240396499634,hidden,202.43092346191406,3.5,1.7474596500396729,fixation,1.0
18,1,11.0,Congruent,11_0.612_0.755.png,2.9985411167144775,0.615,0.751,,,,9.184626460075378,211.6769256591797,1.0,1.663847804069519,hidden,214.3407745361328,3.5,2.0207786560058594,fixation,1.0
19,1,9.0,Medium,9_0.408_0.204.png,0.6330273747444153,0.405,0.202,,,,8.15497636795044,223.86009216308594,1.0,2.0161144733428955,hidden,226.87620544433594,3.5,0.638861894607544,fixation,1.0
20,1,8.0,Congruent,8_0.796_0.367.png,1.7063095569610596,0.79,0.362,,,,11.493717193603516,232.64810180664062,1.0,2.996858596801758,hidden,236.64495849609375,3.5,2.996858596801758,fixation,1.0
21,1,18.0,Incongruent,18_0.367_0.612.png,2.9985411167144775,0.367,0.622,,,,7.143947184085846,245.84812927246094,1.0,1.1239241361618042,hidden,247.9720458984375,3.5,0.5200230479240417,fixation,1.0
