var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst,stage1_obj
0,0,0,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,1.519138699714327,2.0758473610710073,1.106531162234106,1.5477423063864457,0.25,0.25,0.32589652375599193,0.20015483239424445,0.04215919204703278,0.31070376669934563,0.2073533155606348,0.043197331909326106,0.31617233880041434,0.20310764672019943,0.04327958983625849,0.3194108326715547,0.21222312127557927,0.044642470063182435,0.27729895035831303,0.20008692609538542,0.04135627377521894,0.2777809151472492,0.20555547109164862,0.04243166271533324,0.7775253285468632,0.20636411838262897,0.05235241885434667,13.444444444444445,0.0,13.444444444444445,0.0,0.7775253285468632,0.20636411838262897,0.7775253285468632,0.20636411838262897,0.31070376669934563,0.2073533155606348,0.3194108326715547,0.21222312127557927,0.2777809151472492,0.20555547109164862,0.0,0.0,0.0,0.31070376669934563,0.2073533155606348,0.3194108326715547,0.21222312127557927,0.2777809151472492,0.20555547109164862,2027.484015671545
1,0,100000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0001_iter0000_d000001.csv,uniform,uniform,1.801232382720436,2.473934191702334,2.5772530169946677,3.7233434238538177,0.25,0.25,0.31772392642639086,0.1946007702163228,0.03569963838910681,0.32154187754914976,0.20882788036042205,0.03929888101386904,0.31382382734973546,0.20857895742210583,0.03689821623208636,0.31582305778657777,0.2181255983272382,0.040046705370171035,0.269340683434384,0.19627385427196126,0.03508576321601953,0.27771007202090237,0.2089682594630717,0.03889375825077439,0.5233409698599985,0.19047272304136345,0.0415933898397554,28.555555555555554,0.0,28.555555555555554,0.0,0.5233409698599985,0.19047272304136345,0.5233409698599985,0.19047272304136345,0.32154187754914976,0.20882788036042205,0.31582305778657777,0.2181255983272382,0.27771007202090237,0.2089682594630717,0.0,0.0,0.0,0.32154187754914976,0.20882788036042205,0.31582305778657777,0.2181255983272382,0.27771007202090237,0.2089682594630717,2057.5632543190827
2,0,200000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0002_iter0000_d000002.csv,uniform,uniform,1.3697999863446766,2.4525898829632213,3.1212192407159836,3.5225303819067464,0.25,0.25,0.312347363029935,0.19952300028831446,0.03649984642489885,0.3289052148889093,0.21127363171383257,0.03972321231471264,0.3152770567273587,0.21223032438268244,0.03769663749973193,0.3191461698734948,0.22408326730758227,0.040568992711262436,0.27746402656674896,0.20091569971726403,0.035865639906539536,0.28135365977398874,0.21423390126284256,0.03930005596243615,0.6135127340639022,0.18812439386522078,0.04257773231199207,17.888888888888886,0.0,17.888888888888886,0.0,0.6135127340639022,0.18812439386522078,0.6135127340639022,0.18812439386522078,0.3289052148889093,0.21127363171383257,0.3191461698734948,0.22408326730758227,0.28135365977398874,0.21423390126284256,0.0,0.0,0.0,0.3289052148889093,0.21127363171383257,0.3191461698734948,0.22408326730758227,0.28135365977398874,0.21423390126284256,2036.272658538675
3,0,300000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0003_iter0000_d000003.csv,uniform,uniform,1.8718468425401111,2.2795094975911594,2.8971041607178547,3.4205717655859162,0.25,0.25,0.3062421486385881,0.1961386930527277,0.0362681630448034,0.3171757163192358,0.21068091280559606,0.039540370649113366,0.3061271336557995,0.20947838077132153,0.03748268630238866,0.31130273234265315,0.22236768075313512,0.040430885172321296,0.27119388005514544,0.19666229307638947,0.03567718873592224,0.28130488840195716,0.21152463502365793,0.03914200570217294,0.5186854758422758,0.1836502772211508,0.04229097535736538,14.333333333333332,0.0,14.333333333333332,0.0,0.5186854758422758,0.1836502772211508,0.5186854758422758,0.1836502772211508,0.3171757163192358,0.21068091280559606,0.31130273234265315,0.22236768075313512,0.28130488840195716,0.21152463502365793,0.0,0.0,0.0,0.3171757163192358,0.21068091280559606,0.31130273234265315,0.22236768075313512,0.28130488840195716,0.21152463502365793,2029.109659681809
4,0,400000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0004_iter0000_d000004.csv,uniform,uniform,1.8810862757598186,2.3996195680161803,1.7792509153972005,2.9488582864661383,0.25,0.25,0.3140527818482872,0.2000434924403907,0.03800103946145782,0.32365053429713553,0.21051533134201134,0.040538439635405606,0.3034454372870798,0.2034495000639429,0.03912700943921764,0.305940040056077,0.21365909958766252,0.04184048179203004,0.27606227454682586,0.19940173985561935,0.037319813458439585,0.27866439138453364,0.2082939332584932,0.04003092276991313,0.6355150685931557,0.19426603889340216,0.0445593075210513,16.999999999999996,0.0,16.999999999999996,0.0,0.6355150685931557,0.19426603889340216,0.6355150685931557,0.19426603889340216,0.32365053429713553,0.21051533134201134,0.305940040056077,0.21365909958766252,0.27866439138453364,0.2082939332584932,0.0,0.0,0.0,0.32365053429713553,0.21051533134201134,0.305940040056077,0.21365909958766252,0.27866439138453364,0.2082939332584932,2034.51202357319
5,0,500000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0005_iter0000_d000005.csv,uniform,uniform,0.5453114738327407,1.1385332578010858,2.743623478203439,3.6978613810686105,0.25,0.25,0.3259216369010096,0.20167327113924788,0.04203181358016113,0.3336617008129891,0.20753694982707566,0.04354678957145825,0.3272276888368426,0.20396348478939424,0.0432348229044319,0.33017381962452863,0.20833978252312613,0.04384379863704253,0.2887206103472882,0.19990068726978805,0.041349548394395495,0.29383399125054926,0.20655772479314086,0.042977432192700935,0.7777268309899953,0.2033551836405995,0.05342318550785745,13.444444444444446,0.0,13.444444444444446,0.0,0.7777268309899953,0.2033551836405995,0.7777268309899953,0.2033551836405995,0.3336617008129891,0.20753694982707566,0.33017381962452863,0.20833978252312613,0.29383399125054926,0.20655772479314086,0.0,0.0,0.0,0.3336617008129891,0.20753694982707566,0.33017381962452863,0.20833978252312613,0.29383399125054926,0.20655772479314086,2027.4811074880245
6,0,600000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0006_iter0000_d000006.csv,uniform,uniform,1.4846161783700063,2.120725137985333,3.5927458330519486,3.9998609763479798,0.25,0.25,0.3063511962107743,0.19509374895156467,0.03591557277743754,0.31589023544301287,0.2066760025056565,0.03944046613685333,0.3094964844305291,0.20771887187208743,0.03715699428704153,0.3104777061078032,0.21797585389248492,0.03945841074089405,0.2721412304381677,0.1937172792829993,0.03534517652796739,0.2822798701813611,0.20857343062114997,0.0391146793638219,0.5928130139021414,0.18416405601448393,0.04192522680449863,22.333333333333332,0.0,22.333333333333332,0.0,0.5928130139021414,0.18416405601448393,0.5928130139021414,0.18416405601448393,0.31589023544301287,0.2066760025056565,0.3104777061078032,0.21797585389248492,0.2822798701813611,0.20857343062114997,0.0,0.0,0.0,0.31589023544301287,0.2066760025056565,0.3104777061078032,0.21797585389248492,0.2822798701813611,0.20857343062114997,2045.1472372296323
7,0,700000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0007_iter0000_d000007.csv,uniform,uniform,1.5968671751691115,2.3241345882751934,2.789961499484444,3.505002826582852,0.25,0.25,0.3231387671911155,0.20215407911079628,0.03686338008866474,0.32948282165674775,0.2143613806687628,0.039936041385743484,0.31910792030008606,0.21320401847586382,0.03805972625550615,0.3216792454433268,0.2245626237859929,0.04076686747505487,0.2758976446505378,0.20130297234320327,0.03622786614728201,0.2823814377766503,0.21350382509921478,0.039498549697646816,0.56627893607219,0.19068815379963241,0.04301303372065663,19.666666666666668,0.0,19.666666666666668,0.0,0.56627893607219,0.19068815379963241,0.56627893607219,0.19068815379963241,0.32948282165674775,0.2143613806687628,0.3216792454433268,0.2245626237859929,0.2823814377766503,0.21350382509921478,0.0,0.0,0.0,0.32948282165674775,0.2143613806687628,0.3216792454433268,0.2245626237859929,0.2823814377766503,0.21350382509921478,2039.807160955169
8,0,800000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0008_iter0000_d000008.csv,uniform,uniform,0.716154408035858,2.114582867266963,2.3659212384368873,3.1487841480117007,0.25,0.25,0.3286314667501986,0.20059481653385203,0.040577087516398457,0.3291327530723333,0.20764115065804026,0.042323739315931565,0.32011656220685863,0.20518325768892853,0.04176369592355876,0.3212581899595306,0.21118918667502845,0.04382951949124927,0.296352454678968,0.2006026896631929,0.039887405808221296,0.29812946422182085,0.20777470506385312,0.041817327610669384,0.7567184458661711,0.20276751831348672,0.04906531534390362,19.666666666666668,0.0,19.666666666666668,0.0,0.7567184458661711,0.20276751831348672,0.7567184458661711,0.20276751831348672,0.3291327530723333,0.20764115065804026,0.3212581899595306,0.21118918667502845,0.29812946422182085,0.20777470506385312,0.0,0.0,0.0,0.3291327530723333,0.20764115065804026,0.3212581899595306,0.21118918667502845,0.29812946422182085,0.20777470506385312,2039.91446007458
9,0,900000,design_optimisation\optim_longer_isi_v3\candidate_bank\designs\var0009_iter0000_d000009.csv,uniform,uniform,1.2773365741308624,2.4090856832053307,3.428513141486249,3.889870315761197,0.25,0.25,0.30977926111498955,0.19724731887841462,0.036147359017914264,0.3180152288950488,0.2105722139276446,0.03954167767744153,0.30974999162135763,0.20726150900826973,0.03737587931352654,0.3103396736076193,0.22077434289203934,0.039896532823589306,0.27672717280449294,0.1949049130348129,0.03556540723046003,0.28497594648028185,0.2112462366822462,0.03914616230778279,0.6410386297402282,0.1906317656433882,0.042273855929415044,15.222222222222223,0.0,15.222222222222223,0.0,0.6410386297402282,0.1906317656433882,0.6410386297402282,0.1906317656433882,0.3180152288950488,0.2105722139276446,0.3103396736076193,0.22077434289203934,0.28497594648028185,0.2112462366822462,0.0,0.0,0.0,0.3180152288950488,0.2105722139276446,0.3103396736076193,0.22077434289203934,0.28497594648028185,0.2112462366822462,2030.9555955249577
